,男性_身体活動レベルⅠ,男性_身体活動レベルⅡ,男性_身体活動レベルⅢ,女性_身体活動レベルⅠ,女性_身体活動レベルⅡ,女性_身体活動レベルⅢ
0〜5（月）,,550,,,500,
6〜8（月）,,650,,,600,
9〜11（月）,,700,,,650,
1〜2（歳）,,950,,,900,
3〜5（歳）,,1300,,,1250,
6〜7（歳）,1350,1550,1750,1250,1450,1650
8〜9（歳）,1600,1850,2100,1500,1700,1900
10〜11（歳）,1950,2250,2500,1850,2100,2350
12〜14（歳）,2300,2600,2900,2150,2400,2700
15〜17（歳）,2500,2800,3150,2050,2300,2550
18〜29（歳）,2300,2650,3050,1700,2000,2300
30〜49（歳）,2300,2700,3050,1750,2050,2350
50〜64（歳）,2200,2600,2950,1650,1950,2250
65〜74（歳）,2050,2400,2750,1550,1850,2100
75〜（歳）,1800,2100,,1400,1650,
