,男性_推定平均必要量,男性_推奨量,男性_目安量,男性_耐容上限量,女性_推定平均必要量,女性_推奨量,女性_目安量,女性_耐容上限量
0〜5（月）,,,40,,,,40,
6〜11（月）,,,60,,,,60,
1〜2（歳）,80,90,,200,90,90,,200
3〜5（歳）,90,110,,300,90,110,,300
6〜7（歳）,110,140,,400,110,140,,400
8〜9（歳）,130,160,,500,130,160,,500
10〜11（歳）,160,190,,700,160,190,,700
12〜14（歳）,200,240,,900,200,240,,900
15〜17（歳）,220,240,,900,200,240,,900
18〜29（歳）,200,240,,900,200,240,,900
30〜49（歳）,200,240,,1000,200,240,,1000
50〜64（歳）,200,240,,1000,200,240,,1000
65〜74（歳）,200,240,,900,200,240,,900
75〜（歳）,200,240,,900,200,240,,900
