,男性_推定平均必要量,男性_推奨量,男性_目安量,男性_耐容上限量,女性_推定平均必要量,女性_推奨量,女性_目安量,女性_耐容上限量
0〜5（月）,,,100,250,,,100,250
6〜11（月）,,,130,250,,,130,250
1〜2（歳）,35,50,,300,35,50,,300
3〜5（歳）,45,60,,400,45,60,,400
6〜7（歳）,55,75,,550,55,75,,550
8〜9（歳）,65,90,,700,65,90,,700
10〜11（歳）,80,110,,900,80,110,,900
12〜14（歳）,95,140,,2000,95,140,,2000
15〜17（歳）,100,140,,3000,100,140,,3000
18〜29（歳）,95,130,,3000,95,130,,3000
30〜49（歳）,95,130,,3000,95,130,,3000
50〜64（歳）,95,130,,3000,95,130,,3000
65〜74（歳）,95,130,,3000,95,130,,3000
75〜（歳）,95,130,,3000,95,130,,3000
